Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Zona Uso ITBI;Data Inclusao Transacao
RUA ANTONIO ALVES 300 - APT 1001 BLOCO 4 - DIAMANTE - 30660-065 - BELO HORIZONTE - MG;DIAMANTE;2021;22670,77;75,08;75,08;P4;0,002475;AP;RESIDENCIAL;268035,6;ZAR2;03/11/2021
RUA ANTONIO CARVALHO 105 - APT 1104 BLOCO 2 - JULIANA - 31744-551 - BELO HORIZONTE - MG;JULIANA;2020;10705,56;59,83;59,83;P3;0,00399;AP;RESIDENCIAL;199277,55;ZAR2;03/11/2021
RUA ANTONIO CARVALHO 105 - APT 1405 BLOCO 2 - JULIANA - 31744-551 - BELO HORIZONTE - MG;JULIANA;2020;10705,56;59,83;59,83;P3;0,00399;AP;RESIDENCIAL;202220,94;ZAR2;03/11/2021
RUA ANTONIO CARVALHO 105 - APT 302 BLOCO 2 - JULIANA - 31744-551 - BELO HORIZONTE - MG;JULIANA;2020;10705,56;65,22;65,22;P3;0,00435;AP;RESIDENCIAL;192686,25;ZAR2;03/11/2021
RUA APIO CARDOSO DA PAIXAO 32 - OURO PRETO - 31320-120 - BELO HORIZONTE - MG;OURO PRETO;1980;446;71,02;71,02;P1;1;BA;RESIDENCIAL;325000;ZAR2;03/11/2021
RUA BERNARDINO DE LIMA 341 - APT 202 - GUTIERREZ - 30441-008 - BELO HORIZONTE - MG;GUTIERREZ;1995;472,5;112,05;112,05;P3;0,1341;AP;RESIDENCIAL;433000;ZA;03/11/2021
RUA CARLOS TURNER 111 - BLOCO 2 APT 401 - SILVEIRA - 31140-520 - BELO HORIZONTE - MG;SILVEIRA;2003;5065,5;70,77;70,77;P3;0,00686;AP;RESIDENCIAL;350000;ZAP;03/11/2021
RUA CARMELITA PRATES DA SILVA 424 - APT 906 - SALGADO FILHO - 30550-110 - BELO HORIZONTE - MG;SALGADO FILHO;2021;5488,36;59,16;59,16;P3;0,006949;AP;RESIDENCIAL;278500;ZAP;03/11/2021
RUA CARVALHAIS DE PAIVA 309 - APT 301 - CIDADE NOVA - 31170-340 - BELO HORIZONTE - MG;CIDADE NOVA;1980;360;170,33;170,33;P3;0,166666;AP;RESIDENCIAL;520000;ZA;03/11/2021
RUA CASTELO DE ALCOBACA 126 - APT 201 - CASTELO - 31330-040 - BELO HORIZONTE - MG;CASTELO;2006;420;117,71;117,71;P3;0,109759;AP;RESIDENCIAL;390000;ZAR2;03/11/2021
RUA CLAUDIO GOMES DE SOUZA 183 - BLOCO 2 APT 102 - PALMARES - 31155-430 - BELO HORIZONTE - MG;PALMARES;2003;1440;72,3;72,3;P3;0,023382;AP;RESIDENCIAL;230000;ZAP;03/11/2021
RUA CORONEL LERI SANTOS 119 - APT 202 - PLANALTO - 31720-090 - BELO HORIZONTE - MG;PLANALTO;2012;360;112,48;112,48;P3;0,10532;AP;RESIDENCIAL;440000;ZAP;03/11/2021
RUA CRUZEIRO DO SUL 1051 - MIRAMAR - 30644-015 - BELO HORIZONTE - MG;MIRAMAR;1972;360;86;86;P2;1;CA;RESIDENCIAL;334803,8;ZAP;03/11/2021
RUA DA BAHIA 2576 - APT 602 - LOURDES - 30160-019 - BELO HORIZONTE - MG;LOURDES;2014;600;224,08;224,08;P5;0,05634;AP;RESIDENCIAL;1450000;ZCBH;03/11/2021
RUA DEPUTADO BERNARDINO DE SENA FIGUEIREDO 800 - APT 101 - CIDADE NOVA - 31170-210 - BELO HORIZONTE - MG;CIDADE NOVA;1994;360;232,45;232,45;P4;0,278913;AP;RESIDENCIAL;850000;ZA;03/11/2021
RUA DESEMBARGADOR JOSE SATYRO 501 - APT 302 - CASTELO - 30840-490 - BELO HORIZONTE - MG;CASTELO;2011;420;126,88;126,88;P4;0,1069;AP;RESIDENCIAL;535000;ZAR2;03/11/2021
RUA DESEMBARGADOR JOSE SATYRO 610 - APT 103 - CASTELO - 30840-490 - BELO HORIZONTE - MG;CASTELO;2007;495;111,19;111,19;P3;0,067341;AP;RESIDENCIAL;355000;ZAR2;03/11/2021
