Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Zona Uso ITBI;Data Inclusao Transacao
RUA DA PATAGONIA 404 - APT 1401 - SION - 30320-135 - BELO HORIZONTE - MG;SION;2.021;2.675,41;249,02;249,02;P4;0,03;AP;RESIDENCIAL;1.755.246,61;ZA;07/10/2021
RUA TRES CORACOES 136 - GARAGE 114 2 PAVMTO - CALAFATE - 30411-293 - BELO HORIZONTE - MG;CALAFATE;2.002;2.656,24;5,89;5,89;P4;0;VR;RESIDENCIAL;40.000;ZAP;07/10/2021
RUA SOLIDARIEDADE 231 - BLOCO B APT 404 - FLAVIO DE OLIVEIRA - 30626-600 - BELO HORIZONTE - MG;FLAVIO DE OLIVEIRA;1.982;21.088,30;57,69;57,69;P2;0;AP;RESIDENCIAL;119.999,92;ZAP;07/10/2021
RUA ALUISIO LOBAO VERAS 253 - BLOCO II APT 201 - SERRANO - 30882-550 - BELO HORIZONTE - MG;SERRANO;2.000;2.300,15;48,25;48,25;P2;0,01;AP;RESIDENCIAL;170.000;ZAP;07/10/2021
RUA NIOBIO 175 - BLOCO 4 APT 201 - CAMARGOS - 30520-100 - BELO HORIZONTE - MG;CAMARGOS;2.000;6.531,43;42,4;42,4;P2;0,01;AP;RESIDENCIAL;170.000;ZAP;07/10/2021
RUA OURICURI 140 - BLOCO B3 APT 104 - FLORAMAR - 31840-030 - BELO HORIZONTE - MG;FLORAMAR;1.981;23.962;68;68;P2;0;AP;RESIDENCIAL;181.000;ZAP;07/10/2021
RUA JULIO DINIZ 431 - BLOCO 1 CASA 1 - SANTA BRANCA - 31565-180 - BELO HORIZONTE - MG;SANTA BRANCA;1.983;1.800;60;60;P3;0,03;CA;RESIDENCIAL;197.999,98;ZAP;07/10/2021
RUA SILVA FORTES 48 - APT 302 - UNIAO - 31160-320 - BELO HORIZONTE - MG;UNIAO;2.001;385,25;48,82;48,82;P3;0,05;AP;RESIDENCIAL;201.833,60;ZAP;07/10/2021
RUA EZIO MARIO TERENZI 321 - APT 201 BLOCO 1 - MINASLANDIA - 31812-080 - BELO HORIZONTE - MG;MINASLANDIA;2.020;2.691,25;47,33;47,33;P3;0,01;AP;RESIDENCIAL;208.000;ZAP;07/10/2021
AVE PROFESSOR CLOVIS SALGADO 2881 - APT 306 BLOCO 1 - SERRANO - 31360-280 - BELO HORIZONTE - MG;SERRANO;2.021;6.109,62;57,25;57,25;P3;0,01;AP;RESIDENCIAL;210.000;ZAP;07/10/2021
AVE PROFESSOR CLOVIS SALGADO 2881 - APT 1004 BLOCO 2 - SERRANO - 31360-280 - BELO HORIZONTE - MG;SERRANO;2.021;6.109,62;57,25;57,25;P3;0,01;AP;RESIDENCIAL;213.603,90;ZAP;07/10/2021
RUA SAO CLARET 409 - BLOCO 10 APT 402 - SILVEIRA - 31140-350 - BELO HORIZONTE - MG;SILVEIRA;2.003;5.065,50;67,78;67,78;P3;0,01;AP;RESIDENCIAL;237.332,25;ZAP;07/10/2021
RUA LILA BORJA 39 - BLOCO 11 APT 402 - HELIOPOLIS - 31741-605 - BELO HORIZONTE - MG;HELIOPOLIS;1.999;12.063,71;64,97;64,97;P2;0;AP;RESIDENCIAL;240.000;ZAP;07/10/2021
RUA MADRE PAULINA 210 - APT 301 BLOCO 1 - DIAMANTE - 30660-630 - BELO HORIZONTE - MG;DIAMANTE;2.015;8.158,70;68,11;68,11;P3;0;AP;RESIDENCIAL;245.000;ZAP;07/10/2021
RUA SHIRLEY REGINA DAS CHAGAS 50 - APT 1501 - SERRANO - 30882-570 - BELO HORIZONTE - MG;SERRANO;2.015;5.149,32;71,33;71,33;P4;0,01;AP;RESIDENCIAL;255.000;ZAP;07/10/2021
RUA NASCIMENTO 293 - APT 702 BLOCO A - ARAGUAIA - 30620-390 - BELO HORIZONTE - MG;ARAGUAIA;2.021;2.424;81,32;81,32;P3;0,02;AP;RESIDENCIAL;267.542,80;ZAP;07/10/2021
RUA ANDESITA 420 - APT 403 - UNIAO - 31170-480 - BELO HORIZONTE - MG;UNIAO;2.012;428,14;82,53;82,53;P3;0,06;AP;RESIDENCIAL;271.523,70;ZAP;07/10/2021
RUA FRANCISCO AUGUSTO ROCHA 101 - APT 803 BLOCO 4 - PLANALTO - 31720-260 - BELO HORIZONTE - MG;PLANALTO;2.016;15.838,43;69,64;69,64;P4;0;AP;RESIDENCIAL;278.000;ZAP;07/10/2021
RUA MARIA AMELIA MELLO 784 - APT 803 - SANTA HELENA - 30642-160 - BELO HORIZONTE - MG;SANTA HELENA;2.017;6.000;96,01;96,01;P3;0,01;AP;RESIDENCIAL;282.000;ZAP;07/10/2021
RUA DOUTOR LUIS RATTON 191 - APT 101 - MANACAS - 30840-600 - BELO HORIZONTE - MG;MANACAS;2.008;460,5;64,08;64,08;P3;0,16;AP;RESIDENCIAL;290.000;ZAP;07/10/2021
RUA SANTO AGOSTINHO 784 - APT 202 - SAGRADA FAMILIA - 31035-480 - BELO HORIZONTE - MG;SAGRADA FAMILIA;1.983;300;78;78;P2;0,25;AP;RESIDENCIAL;290.000;ZAP;07/10/2021
RUA CORREGO DA MATA 590 - BLOCO I APT 1104 - HORTO - 31030-030 - BELO HORIZONTE - MG;HORTO;2.000;2.298,61;85,41;85,41;P3;0,01;AP;RESIDENCIAL;294.590,17;ZAP;07/10/2021
RUA POUSO ALEGRE 239 - APT 303 - COLEGIO BATISTA - 31110-010 - BELO HORIZONTE - MG;COLEGIO BATISTA;1.977;1.452;103,58;103,58;P3;0,02;AP;RESIDENCIAL;300.000;ZAP;07/10/2021
RUA MARECHAL JOFRE 177 - APT 102 BLOCO 12 - NOVA GRANADA - 30431-370 - BELO HORIZONTE - MG;NOVA GRANADA;2.007;22.215,66;80,64;161,28;P3;0;AP;RESIDENCIAL;302.000;ZAP;07/10/2021
RUA FRANCISCO AUGUSTO ROCHA 101 - APT 202 BLOCO 4 - PLANALTO - 31720-260 - BELO HORIZONTE - MG;PLANALTO;2.016;15.838,43;93,48;186,96;P4;0;AP;RESIDENCIAL;330.475,17;ZAP;07/10/2021
RUA PROFESSOR TANCREDO MARTINS 95 - APT 102 - NOVO SAO LUCAS - 30240-440 - BELO HORIZONTE - MG;NOVO SAO LUCAS;1.981;378;100;100;P3;0,17;AP;RESIDENCIAL;332.000;ZAP;07/10/2021
RUA PAULO FRANCA CRUZEIRO 56 - APT 401 - SANTA BRANCA - 31565-380 - BELO HORIZONTE - MG;SANTA BRANCA;2.021;360;66,3;66,3;P3;0,15;AP;RESIDENCIAL;338.241,38;ZAP;07/10/2021
RUA MAESTRO GEORGE MARINUZZI 135 - APT 102 - MANACAS - 30840-620 - BELO HORIZONTE - MG;MANACAS;1.992;442;139,43;139,43;P3;0,17;AP;RESIDENCIAL;348.630,77;ZAP;07/10/2021
RUA BRANCA DE SOUZA COUTO 34 - APT 405 - DONA CLARA - 31260-160 - BELO HORIZONTE - MG;DONA CLARA;2.021;1.112;101,93;101,93;P3;0,03;AP;RESIDENCIAL;354.716,40;ZAP;07/10/2021
RUA CONDE RIBEIRO DO VALE 205 - APT 301 - SAGRADA FAMILIA - 31030-470 - BELO HORIZONTE - MG;SAGRADA FAMILIA;1.990;400;125,09;125,09;P3;0,18;AP;RESIDENCIAL;357.620,38;ZAP;07/10/2021
RUA TRES CORACOES 136 - APT 403 - CALAFATE - 30411-293 - BELO HORIZONTE - MG;CALAFATE;2.002;2.656,24;99,37;99,37;P4;0,01;AP;RESIDENCIAL;361.110,58;ZAP;07/10/2021
RUA JOUBERT BUSTAMANTE 10 - APT B 2 - PALMARES - 31155-690 - BELO HORIZONTE - MG;PALMARES;1.993;898;139,81;139,81;P3;0,1;AP;RESIDENCIAL;379.500,26;ZAP;07/10/2021
RUA PEDRA CORAL 211 - APT 401 - PIRATININGA - 31570-560 - BELO HORIZONTE - MG;PIRATININGA;2.021;360;102,3;102,3;P3;0,18;AP;RESIDENCIAL;380.000;ZAP;07/10/2021
RUA URSULA PAULINO 1321 - APT 2304 BLOCO TORRE 3 - ESTRELA DO ORIENTE - 30580-353 - BELO HORIZONTE - MG;ESTRELA DO ORIENTE;2.018;22.403;88,48;88,48;P3;0;AP;RESIDENCIAL;385.000;ZAP;07/10/2021
RUA FRANCISCO AUGUSTO ROCHA 101 - APT 701 BLOCO 4 - PLANALTO - 31720-260 - BELO HORIZONTE - MG;PLANALTO;2.016;15.838,43;101,74;101,74;P4;0;AP;RESIDENCIAL;393.000;ZAP;07/10/2021
RUA JOAO GUALBERTO FILHO 1324 - APT 203 - SAGRADA FAMILIA - 31035-570 - BELO HORIZONTE - MG;SAGRADA FAMILIA;1.997;800;115,91;115,91;P4;0,04;AP;RESIDENCIAL;393.746,27;ZAP;07/10/2021
RUA CONSELHEIRO CARNEIRO DE CAMPOS 163 - APT 302 - SALGADO FILHO - 30550-320 - BELO HORIZONTE - MG;SALGADO FILHO;2.021;360;137,22;137,22;P3;0,11;AP;RESIDENCIAL;451.453,80;ZAP;07/10/2021
RUA PROFESSOR DOMICIO MURTA 121 - APT 1301 - TORRE B - OURO PRETO - 31330-670 - BELO HORIZONTE - MG;OURO PRETO;2.013;3.159;140,57;140,57;P4;0,01;AP;RESIDENCIAL;460.000;ZAP;07/10/2021
RUA ALBERTO BRESSANE - NOVO SAO LUCAS - 30240-470 - BELO HORIZONTE - MG;NOVO SAO LUCAS;0;360;0;0;TE;1;LV;TERRITORIAL;504.000;ZAP;07/10/2021
RUA JOSE RIBEIRO FILHO 396 - APT 104 BLOCO 1 - PAQUETA - 31330-500 - BELO HORIZONTE - MG;PAQUETA;2.009;4.522;90,84;90,84;P3;0,01;AP;RESIDENCIAL;508.000;ZAP;07/10/2021
RUA WADY JOSE ALAU 105 - APT 603 - OURO PRETO - 31330-680 - BELO HORIZONTE - MG;OURO PRETO;2.016;1.000;151,48;151,48;P3;0,06;AP;RESIDENCIAL;527.150,40;ZAP;07/10/2021
