name_building,floors,status,year,address,address_2,link_2,height,link,h1,h2,h3,type_concat,residential,office,hotel,other,type_simplified,address_adj,lat,long
La Maison,23,built,,"Rua Sergipe, 446/460",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=95829,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,"Rua Sergipe, 446/460",-10.9199264,-37.0724141
Domaine de Belle Vue,23,built,,"Rua Maranhão, 320",Sao Paulo SP Brazil,,230,https://skyscraperpage.com/cities?buildingID=95828,230,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,"Rua Maranhão, 320",-2.52945,-44.231334
Casaredo,23,built,,Rua Júpiter 186,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96478,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Júpiter 186,-22.8160065,-43.313289
Visconde de Porto Seguro,21,built,,"Rua Pedroso Alvarenga, 771 - Itaim Bibi",Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=63123,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- postmodern"")",1,0,0,0,Residential,"Rua Pedroso Alvarenga, 771 - Itaim Bibi",-23.5827456,-46.6818974
Villa Reale,20,built,2009,Rua Caraíbas 847 Perdizes,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=59431,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"", ""Architectural Style"", ""- neo-classical"", ""- postmodern"", ""Materials"", ""- glass"", ""- steel"", ""- granite"", ""- concrete, reinforced"", ""- brick"")",1,0,0,0,Residential,Rua Caraíbas 847 Perdizes,-23.5373418,-46.6859338
Santander Banespa,20,built,,Rua Boa Vista 263,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=96424,NA,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office,Rua Boa Vista 263,-20.7290487,-42.8822258
Paulista 2028,20,built,,"Avenida Paulista 2028, Consolação",Sao Paulo SP Brazil,http://www.paulista2028.com.br...,NA,https://skyscraperpage.com/cities?buildingID=104878,NA,NA,NA,"c(""Building Uses"", ""- office"", ""- communication"", ""- parking garage"", ""- restaurant"", ""Structural Types"", ""- highrise"", ""- truss tower"", ""Architectural Style"", ""- modern"", ""Materials"", ""- glass"", ""- steel"", ""- concrete, reinforced"")",0,1,0,0,Office,"Avenida Paulista 2028, Consolação",-23.5586155,-46.6593123
Triangle,18,built,1955,Rua José Bonifácio 24,Sao Paulo SP Brazil,,230,https://skyscraperpage.com/cities?buildingID=96421,230,NA,NA,"c(""Building Uses"", ""- office"", ""Structural Types"", ""- highrise"")",0,1,0,0,Office,Rua José Bonifácio 24,-16.6552598,-49.187405
Vitra,,built,,Horácio Lafer Avenue,Sao Paulo SP Brazil,http://www.edificiovitra.com.br/,NA,https://skyscraperpage.com/cities?buildingID=98932,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Horácio Lafer Avenue,-23.5878743,-46.68358
Granville,21,built,,Rua Júpiter 271,Sao Paulo SP Brazil,,NA,https://skyscraperpage.com/cities?buildingID=102703,NA,NA,NA,"c(""Building Uses"", ""- residential"", ""Structural Types"", ""- highrise"")",1,0,0,0,Residential,Rua Júpiter 271,-22.8160065,-43.313289
