"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 30, 2020","57,962.12","57,437.71","58,422.05","56,946.49","-","1.86%"
"Mar 27, 2020","56,903.76","57,639.93","58,279.25","56,396.12","-","-3.43%"
"Mar 26, 2020","58,926.21","55,251.34","59,267.18","55,251.34","-","7.36%"
"Mar 25, 2020","54,886.92","53,332.11","55,602.51","52,654.96","-","2.91%"
"Mar 24, 2020","53,336.93","53,664.00","55,069.34","52,862.74","-","3.20%"
"Mar 23, 2020","51,681.65","54,751.20","54,773.74","50,355.13","-","-5.71%"
"Mar 20, 2020","54,810.36","57,919.63","58,757.06","54,172.51","-","-2.02%"
"Mar 19, 2020","55,938.56","54,896.86","57,194.30","53,137.81","-","-0.32%"
"Mar 18, 2020","56,119.21","60,073.86","60,121.55","53,437.57","-","-9.73%"
"Mar 17, 2020","62,166.85","61,316.82","63,543.33","60,435.44","-","3.04%"
"Mar 16, 2020","60,334.51","61,640.66","62,339.79","58,788.81","-","-9.17%"
"Mar 13, 2020","66,426.49","64,198.71","66,739.31","60,644.47","-","8.99%"
"Mar 12, 2020","60,947.95","64,410.35","64,410.35","58,016.70","-","-11.59%"
"Mar 11, 2020","68,939.52","72,035.73","72,421.58","66,100.37","-","-5.38%"
"Mar 10, 2020","72,862.37","72,121.04","73,662.29","70,541.72","-","3.82%"
"Mar 09, 2020","70,181.75","73,307.81","73,307.81","69,647.30","-","-7.98%"
"Mar 06, 2020","76,268.96","77,122.83","77,122.83","74,930.81","-","-3.52%"
"Mar 05, 2020","79,053.16","81,488.73","81,488.73","77,950.48","-","-3.44%"
"Mar 04, 2020","81,871.13","79,474.00","81,914.66","79,474.00","-","4.16%"
"Mar 03, 2020","78,600.38","78,830.23","80,581.71","78,064.02","-","-0.11%"
"Mar 02, 2020","78,686.18","75,589.66","78,686.18","75,589.66","-","4.14%"
"Feb 28, 2020","75,555.55","74,614.58","75,555.55","72,303.15","-","0.87%"
"Feb 27, 2020","74,905.97","75,661.54","76,913.63","74,737.35","-","-1.77%"
"Feb 26, 2020","76,253.27","77,519.24","77,519.24","75,640.92","-","-4.25%"
"Feb 21, 2020","79,639.35","78,810.19","79,639.35","78,414.15","-","0.59%"
"Feb 20, 2020","79,175.28","80,300.04","80,303.38","79,018.11","-","-1.54%"
"Feb 19, 2020","80,409.75","79,980.40","80,648.89","79,824.57","-","0.53%"
"Feb 18, 2020","79,982.06","79,434.31","79,982.06","79,106.23","-","0.44%"
"Feb 17, 2020","79,628.10","78,731.69","79,771.10","78,643.41","-","1.16%"
"Feb 14, 2020","78,712.14","79,148.49","79,248.00","78,220.02","-","-0.34%"
"Feb 13, 2020","78,983.20","78,569.72","79,214.28","78,022.40","-","-0.14%"
"Feb 12, 2020","79,097.71","78,177.90","79,142.15","77,904.54","-","1.33%"
"Feb 11, 2020","78,062.30","76,642.28","78,062.30","76,607.14","-","2.16%"
"Feb 10, 2020","76,414.25","77,651.35","77,773.50","76,078.29","-","-1.67%"
"Feb 07, 2020","77,712.60","78,907.72","79,013.29","77,621.81","-","-1.68%"
"Feb 06, 2020","79,039.54","80,341.76","80,607.34","78,843.37","-","-1.34%"
"Feb 05, 2020","80,112.76","79,986.26","80,472.80","79,804.71","-","0.47%"
"Feb 04, 2020","79,736.10","79,805.02","80,293.19","79,603.19","-","0.56%"
"Feb 03, 2020","79,288.75","78,239.55","79,590.61","78,189.06","-","1.25%"
"Jan 31, 2020","78,308.77","79,183.35","79,183.35","78,179.36","-","-1.37%"
"Jan 30, 2020","79,394.20","79,674.99","79,683.65","78,311.54","-","-1.17%"
"Jan 29, 2020","80,331.76","80,918.99","81,222.27","80,161.60","-","-0.63%"
"Jan 28, 2020","80,840.15","79,590.47","80,965.09","79,426.15","-","1.57%"
"Jan 27, 2020","79,592.60","80,299.52","80,299.52","79,242.57","-","-1.76%"
"Jan 24, 2020","81,022.53","81,134.60","81,209.29","80,552.36","-","-0.04%"
"Jan 23, 2020","81,053.08","80,241.72","81,053.08","79,484.10","-","0.75%"
"Jan 22, 2020","80,446.24","80,111.25","80,683.11","79,871.35","-","0.59%"
"Jan 21, 2020","79,974.75","80,198.87","80,369.79","79,769.61","-","-0.49%"
"Jan 20, 2020","80,372.27","79,953.42","80,427.02","79,662.86","-","0.57%"
"Jan 17, 2020","79,920.64","79,736.36","79,920.64","79,376.73","-","0.47%"
"Jan 16, 2020","79,546.55","79,517.84","79,796.27","79,109.66","-","0.25%"
"Jan 15, 2020","79,348.04","79,313.42","79,556.51","78,862.88","-","-0.05%"
"Jan 14, 2020","79,383.80","79,287.92","79,383.80","78,575.68","-","0.13%"
"Jan 13, 2020","79,280.07","78,695.04","79,340.92","78,695.04","-","0.87%"
"Jan 10, 2020","78,598.22","77,902.45","78,757.26","77,861.99","-","1.11%"
"Jan 09, 2020","77,732.20","77,326.03","77,755.76","76,999.74","-","0.71%"
"Jan 08, 2020","77,182.81","77,121.01","77,196.85","76,251.31","-","0.22%"
"Jan 07, 2020","77,012.13","77,313.45","77,316.50","76,522.12","-","-0.48%"
"Jan 06, 2020","77,381.11","77,157.38","77,515.32","76,430.29","-","0.03%"
"Jan 03, 2020","77,360.30","76,758.19","77,430.64","76,288.10","-","-0.01%"
"Jan 02, 2020","77,369.61","76,818.41","77,369.61","76,550.29","-","0.97%"
"Dec 30, 2019","76,627.21","76,176.35","76,928.06","76,141.82","-","0.53%"
"Dec 27, 2019","76,224.11","76,144.30","76,333.87","75,727.59","-","0.19%"
"Dec 26, 2019","76,076.22","75,578.42","76,141.27","75,344.61","-","0.73%"
